epoch,loss,accuracy,val_loss,val_accuracy
0,0.4027668833732605,0.8223437666893005,0.32047489285469055,0.8627499938011169
1,0.30085524916648865,0.8741562366485596,0.3205193877220154,0.8611249923706055
2,0.2566256523132324,0.8955625295639038,0.3218073844909668,0.8636249899864197
3,0.2090282291173935,0.9181874990463257,0.3456908166408539,0.8613749742507935
4,0.15902157127857208,0.941156268119812,0.384528249502182,0.8586249947547913
5,0.12278183549642563,0.9538437724113464,0.41943758726119995,0.8556249737739563
6,0.0965728685259819,0.965218722820282,0.5013543963432312,0.8539999723434448
7,0.08020468056201935,0.9707812666893005,0.5382860898971558,0.8553749918937683
8,0.06618846207857132,0.9755625128746033,0.5800727009773254,0.8536249995231628
9,0.06076589971780777,0.9782812595367432,0.5824891924858093,0.8558750152587891
10,0.049423445016145706,0.9829062223434448,0.6288495659828186,0.8575000166893005
11,0.04959486797451973,0.9821875095367432,0.6400973796844482,0.8503749966621399
12,0.04767495021224022,0.9828125238418579,0.6609343886375427,0.8554999828338623
13,0.04131588339805603,0.9851874709129333,0.6560958027839661,0.8529999852180481
14,0.03980206325650215,0.9859062433242798,0.6764989495277405,0.8552500009536743
15,0.039088837802410126,0.9865000247955322,0.6781269907951355,0.8567500114440918
16,0.03402351960539818,0.9884999990463257,0.708360493183136,0.8539999723434448
17,0.03626582399010658,0.987906277179718,0.6836016774177551,0.8557500243186951
18,0.033575043082237244,0.9879999756813049,0.7216488122940063,0.8535000085830688
19,0.030022578313946724,0.9891562461853027,0.7148488759994507,0.8531249761581421
